fuel_property_id,molecule_id,source_id,property_name,value,unit,temperature_c,pressure_bar,uncertainty,measurement_method,value_origin,page_table_figure,notes,preferred_name,molecule_role,canonical_smiles,title,year,doi,value_std,unit_std,conversion
32,22,62,specific_energy,43.82,MJ/kg,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,4-dimethylcyclooctane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,43.82,MJ/kg,identity
33,22,62,energy_density,36.22,MJ/L,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,4-dimethylcyclooctane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,36.22,MJ/L,identity
34,22,62,melting_point,-78.0,°C,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,4-dimethylcyclooctane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,-78.0,°C,identity
35,22,62,density,827.0,kg/m3,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,4-dimethylcyclooctane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,827.0,kg/m3,identity
36,22,62,flash_point,49.5,°C,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,4-dimethylcyclooctane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,49.5,°C,identity
37,23,62,specific_energy,43.56,MJ/kg,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1,4-trimethylcycloheptane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,43.56,MJ/kg,identity
38,23,62,energy_density,34.83,MJ/L,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1,4-trimethylcycloheptane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,34.83,MJ/L,identity
39,23,62,density,807.6,kg/m3,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1,4-trimethylcycloheptane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,807.6,kg/m3,identity
40,23,62,flash_point,42.5,°C,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1,4-trimethylcycloheptane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,42.5,°C,identity
41,24,62,specific_energy,43.46,MJ/kg,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1,5-trimethyl-2-pentylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,43.46,MJ/kg,identity
42,24,62,energy_density,35.0,MJ/L,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1,5-trimethyl-2-pentylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,35.0,MJ/L,identity
43,24,62,density,812.6,kg/m3,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1,5-trimethyl-2-pentylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,812.6,kg/m3,identity
44,168,62,specific_energy,42.98,MJ/kg,,,,source structure-property dataset,literature,Table 3,,cis-decalin,fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,42.98,MJ/kg,identity
45,168,62,energy_density,38.7,MJ/L,,,,source structure-property dataset,literature,Table 3,,cis-decalin,fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,38.7,MJ/L,identity
46,168,62,melting_point,-38.8,°C,,,,source structure-property dataset,literature,Table 3,,cis-decalin,fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,-38.8,°C,identity
47,168,62,density,901.02,kg/m3,15.0,,,source structure-property dataset,literature,Table 3,,cis-decalin,fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,901.02,kg/m3,identity
48,169,62,specific_energy,42.94,MJ/kg,,,,source structure-property dataset,literature,Table 3,,"1,2-dimethyl-cis-decalin",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,42.94,MJ/kg,identity
49,169,62,energy_density,32.6,MJ/L,,,,source structure-property dataset,literature,Table 3,,"1,2-dimethyl-cis-decalin",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,32.6,MJ/L,identity
50,170,62,specific_energy,42.88,MJ/kg,,,,source structure-property dataset,literature,Table 3,,"1,3-dimethyl-cis-decalin",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,42.88,MJ/kg,identity
51,170,62,energy_density,32.55,MJ/L,,,,source structure-property dataset,literature,Table 3,,"1,3-dimethyl-cis-decalin",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,32.55,MJ/L,identity
52,15,64,density,889.7,kg/m3,20.0,,,review comparison table,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Insight into Biomass Upgrade: A Review on Hydrogenation of 5-Hydroxymethylfurfural (HMF) to 2,5-Dimethylfuran (DMF)",2021.0,10.3390/molecules26226848,889.7,kg/m3,identity
53,15,64,boiling_point,93.0,°C,,,,review comparison table,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Insight into Biomass Upgrade: A Review on Hydrogenation of 5-Hydroxymethylfurfural (HMF) to 2,5-Dimethylfuran (DMF)",2021.0,10.3390/molecules26226848,93.0,°C,identity
54,15,64,energy_density,30.0,MJ/L,,,,review comparison table,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Insight into Biomass Upgrade: A Review on Hydrogenation of 5-Hydroxymethylfurfural (HMF) to 2,5-Dimethylfuran (DMF)",2021.0,10.3390/molecules26226848,30.0,MJ/L,identity
55,15,64,octane_number,119.0,,,,,review comparison table,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Insight into Biomass Upgrade: A Review on Hydrogenation of 5-Hydroxymethylfurfural (HMF) to 2,5-Dimethylfuran (DMF)",2021.0,10.3390/molecules26226848,119.0,,identity
56,15,65,lower_heating_value,33.3,MJ/kg,,,,literature comparison in primary paper,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"A Shock Tube and Chemical Kinetic Modeling Study of the Oxidation of 2,5-Dimethylfuran",2013.0,,33.3,MJ/kg,identity
57,15,65,energy_density,30.0,MJ/L,,,,literature comparison in primary paper,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"A Shock Tube and Chemical Kinetic Modeling Study of the Oxidation of 2,5-Dimethylfuran",2013.0,,30.0,MJ/L,identity
58,15,65,octane_number,119.0,,,,,literature comparison in primary paper,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"A Shock Tube and Chemical Kinetic Modeling Study of the Oxidation of 2,5-Dimethylfuran",2013.0,,119.0,,identity
59,15,65,boiling_point,92.85,°C,,,,literature comparison in primary paper,literature,Table 1,Normalized from 366 K to °C.,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"A Shock Tube and Chemical Kinetic Modeling Study of the Oxidation of 2,5-Dimethylfuran",2013.0,,92.85,°C,identity
60,16,25,boiling_point,196.05,°C,,,,NIST phase-change compilation (BS),literature,Phase change data,Normalized from 469.2 K; underlying reference Weast and Grasselli (1989).,methyl levulinate,intermediate,,"NIST Chemistry WebBook, SRD 69",,,196.05,°C,identity
61,17,25,boiling_point,205.85,°C,,,,NIST phase-change compilation (BS),literature,Phase change data,Normalized from 479.0 K; underlying reference Weast and Grasselli (1989).,ethyl levulinate,intermediate,,"NIST Chemistry WebBook, SRD 69",,,205.85,°C,identity
62,171,95,specific_energy,44.82,MJ/kg,,,,computational thermochemistry / structure-property screening,literature,Figure 3a / article text,Reported by Chang et al. for SAF candidate screening.,2-methylheptane,fuel_candidate,CCCCCC(C)C,"Sustainable Aviation Fuel Molecules from (Hemi)Cellulose: Computational Insights into Synthesis Routes, Fuel Properties, and Process Chemistry Metrics",2024.0,10.1021/acssuschemeng.4c04199,44.82,MJ/kg,identity
63,172,95,specific_energy,43.88,MJ/kg,,,,computational thermochemistry / structure-property screening,literature,Figure 3a / article text,Reported by Chang et al. for SAF candidate screening.,ethylcyclohexane,fuel_candidate,CCC1CCCCC1,"Sustainable Aviation Fuel Molecules from (Hemi)Cellulose: Computational Insights into Synthesis Routes, Fuel Properties, and Process Chemistry Metrics",2024.0,10.1021/acssuschemeng.4c04199,43.88,MJ/kg,identity
64,173,95,specific_energy,43.89,MJ/kg,,,,computational thermochemistry / structure-property screening,literature,Figure 3a / article text,Reported by Chang et al. for SAF candidate screening.,propylcyclohexane,fuel_candidate,CCCC1CCCCC1,"Sustainable Aviation Fuel Molecules from (Hemi)Cellulose: Computational Insights into Synthesis Routes, Fuel Properties, and Process Chemistry Metrics",2024.0,10.1021/acssuschemeng.4c04199,43.89,MJ/kg,identity
