molecule_id,preferred_name,conf_id,force_field,energy_kcal_mol,delta_e_kcal_mol,boltzmann_weight_298K,within_5kcal
172,ethylcyclohexane,5,MMFF94,7.863046907640073,6.423839118907671,9.77781011716022e-06,False
172,ethylcyclohexane,6,MMFF94,8.514499311702151,7.075291522969749,3.2562944815522865e-06,False
173,propylcyclohexane,0,MMFF94,8.232695329355277,6.951819688425404,4.7683956329736044e-06,False
173,propylcyclohexane,1,MMFF94,8.295013458805858,7.0141378178759854,4.292326758007318e-06,False
173,propylcyclohexane,2,MMFF94,7.596556290239487,6.3156806493096145,1.3952930565946589e-05,False
173,propylcyclohexane,3,MMFF94,7.483635905505428,6.202760264575555,1.688249576507492e-05,False
173,propylcyclohexane,4,MMFF94,2.086819374159214,0.8059437332293413,0.15252134226851766,True
173,propylcyclohexane,5,MMFF94,3.395801754117514,2.114926113187641,0.016743254390813655,True
173,propylcyclohexane,6,MMFF94,4.248258505723732,2.9673828647938594,0.003971775940758344,True
173,propylcyclohexane,7,MMFF94,1.2808756409298727,0.0,0.5944173464660133,True
173,propylcyclohexane,8,MMFF94,9.915384986109835,8.634509345179962,2.785814560171735e-07,False
173,propylcyclohexane,9,MMFF94,1.8422208161618467,0.561345175231974,0.2304743537237778,True
173,propylcyclohexane,10,MMFF94,6.972745757174797,5.691870116244925,3.998726740212222e-05,False
173,propylcyclohexane,11,MMFF94,4.719883664389001,3.4390080234591283,0.0017917652125390674,True
